name,cuisine,DietaryRestrictions,latitude,longitude,phone,rating
Grill Hut,Indian Barbecue       ,   ,12.95851,77.68197,+91 99029 72764,2.5
McDonald's,Fast Food        ,   ,12.91792,77.63836,+91 80660 00666,4
The Roll Factory,Indian        ,   ,12.90626,77.59003,+91 98459 13259,4
MiPi Lounge,Italian Indian Barbecue Thai Wine Bar    ,   ,12.899668,77.48268,+91 99002 34261,
Delhi Darbar,        ,   ,12.99799,77.71751,+91 99207 33030,4
A1 Ambur Biryani,Fast Food        ,   ,12.98538,77.60723,+91 93410 58820,4
Sweet Chariot,        ,   ,13.03881,77.60119,+91 80 4206 3049,3.5
Arun Ice Creams,        ,   ,12.93527,77.48787,+91 98800 28860,4
Hotel Siliguri Ambur Star Biryani Restaurant,        ,   ,13.02225,77.53467,+91 90366 67299,4
The Big Bang Skydeck & Lounge,Indian Brew Pub Bar European Pub    ,   ,12.98813,77.729805,+91 89513 98999,
Banashankari Biryani Corner,        ,   ,12.99968,77.71495,+91 87224 45555,4
Nagashree's,        ,   ,12.96011,77.59391,+91 93413 24184,4
Pecos Pub,        ,   ,12.96294,77.64171,,3
Goli Vada Pav No. 1,Fast Food        ,   ,12.8707,77.65952,+91 90368 02030,4
Wangs Kitchen,        ,   ,12.9673,77.60757,+91 80 3925 3925,3.5
Maurya Andhra Style,        ,   ,13.02836,77.51984,+91 80 2839 7288,4
Soley - European Cafe,Italian Cafe European Central European     ,   ,12.90287,77.70438,+91 99801 41522,
Firangi Bake,        ,   ,12.961807,77.59798,+91 77100 90007,1
The Beer Cafe,Brew Pub Cafe Pub      ,   ,13.0288,77.67347,+91 80 2268 2122,2.5
Fyi,        ,   ,12.93327,77.61509,+91 80 4965 2739,4
Samavar,Indian        ,   ,12.93671,77.62614,+91 80 4269 0690,4
City Food Restaurant,Pizza        ,   ,12.96397,77.583,+91 80 4160 2288,4
Goli Vada Pav No. 1,Indian Fast Food       ,   ,12.97097,77.63065,+91 80 4121 6684,4
Polar Bear,        ,   ,12.95146,77.57626,41172757,4
Diya Family Restaurant,Chinese        ,   ,13.00686,77.59629,+91 99167 81585,3
New Tasty Cafetaria,Chinese Cafe       ,   ,13.11109,77.60559,+91 81230 00407,3.5
Kebab Nation,Chinese        ,   ,13.03022,77.55962,+91 72599 34355,4
Sweet Chariot,        ,   ,12.95723,77.51863,+91 98456 10123,5
Vijay Lakshmi Veg,Cafe        ,Vegetarian Friendly   ,12.99784,77.60875,+91 98452 78147,5
Goli Vada Pav No. 1,Fast Food        ,   ,12.9885,77.55937,+91 99169 24209,4
Jaanmo,Japanese        ,   ,13.044943,77.62678,,
Kerala Mess,American        ,   ,12.93527,77.48787,,4
Ambur Dum Biriyani,Fast Food        ,   ,12.9567,77.70328,+91 94428 40781,4
Korean Restaurant Thran,Asian Korean       ,   ,13.02169,77.64048,+91 80 4205 0685,
News Bake,        ,   ,,,+91 97474 32262,4
Five Star Chicken,Fast Food        ,   ,12.92206,77.64492,+91 80500 78911,4
Baskin-Robbins,        ,   ,12.9832,77.6406,+91 80 4235 2445,4
Raghu Restaurant,        ,   ,12.99038,77.60711,+91 81762 57238,4
Juice Corner,        ,   ,12.93686,77.57883,+91 99805 26683,3
Five Star Chicken,Fast Food        ,   ,12.93801,77.56155,+91 97313 77352,4
Cane Crush,        ,   ,12.96767,77.57852,+91 97316 40897,4
Fish N Chips,Seafood        ,   ,12.99278,77.57153,+91 80 3016 0070,3
Cafe Coffee Day,Cafe        ,   ,13.1001,77.59597,+91 93430 55693,2.5
Falahaar,Indian        ,   ,12.94085,77.63132,,3
Bells & Candles,        ,   ,12.92508,77.56434,+91 80 4212 4307,4
Zhang's Dynasty,Chinese        ,   ,12.88968,77.60087,+91 80 4143 0988,3
Jumbo King,Fast Food        ,   ,12.93226,77.55593,+91 80 2672 0699,4
Anand Lounge,Indian        ,   ,12.96183,77.61448,,3.5
Zed the Baker,American Cafe European      ,   ,12.962484,77.588455,,3
Bharathi Dosa Camp,        ,   ,12.98416,77.60715,+91 98803 59641,5
Choco World,        ,   ,12.92489,77.58086,+91 94482 51571,4
Tasty Bites,        ,   ,12.87466,77.55627,+91 93437 63876,4
Five Star Chicken,Chinese        ,   ,12.99862,77.61546,+91 94490 86696,4
Revathi Military Cafe,Fast Food        ,   ,12.9682,77.60067,+91 96860 37477,4
Laddu's,        ,   ,,,,4
G Bar,        ,   ,12.97546,77.6172,+91 80 4097 7011,4
Rotti Mane,Fast Food        ,   ,,,+91 95903 97649,4
Ambur Biryani,        ,   ,13.04432,77.63753,+91 98455 01378,3.5
Sri Vinayaka Bakery & Sweets,        ,   ,13.02315,77.55938,+91 99452 62716,3.5
Siddarth Restaurant,        ,   ,,,+91 99000 02899,4
Hotel Ranga Restaurant,        ,   ,12.99684,77.65341,+91 94821 35132,4
Shri Sai Vasavi Chats Corner,        ,   ,13.09517,77.57716,+91 99867 49463,4
Wangs Chinese Restaurant,Chinese        ,   ,,,+91 80 2548 1588,3.5
Galaxy Restaurant,        ,   ,,,+91 80 4161 5877,4
Hyderabadi Spice,Thai        ,   ,,,+91 80 6500 0270,4
The French Loaf,French        ,   ,,,+91 80 3221 1854,3.5
Lassi Point,        ,   ,12.92669,77.63353,+91 88846 41842,3.5
Barista Lavazza,Cafe        ,   ,12.97884,77.6562,+91 80 4163 5926,3.5
Berries & Barrels,        ,   ,,,+91 80 4206 0437,4
Sri Vasavi Restaurant,        ,   ,12.92559,77.67145,+91 99807 44039,3.5
Hoysala Bar & Restaurant,Chinese        ,   ,13.00039,77.53219,+91 80 2335 9278,4
Shiv Bhog,Indian        ,Vegetarian Friendly   ,,,+91 80 4965 3242,4
Baskin-Robbins,        ,   ,12.97699,77.53151,+91 81058 85305,4
Chungs Kitchen,Chinese        ,   ,13.01012,77.58334,+91 80 2361 8861,4
Spice Square,Chinese Indian       ,   ,12.90929,77.64023,+91 97411 87992,4
Manna Sweets & Snacks,        ,   ,13.00512,77.70315,+91 99729 40070,4
Nupur Kolhapur,        ,   ,12.98464,77.5371,+91 80 2351 5657,3
Rajwada,        ,   ,12.96436,77.65902,+91 97316 78911,4
Kailash Parbat,Indian        ,   ,12.88919,77.60229,+91 99600 69000,3.5
Thanima,        ,   ,12.84626,77.67148,+91 97397 21615,3.5
Sweet Chariot,        ,   ,13.03611,77.56676,,4
Herbs & Spice Restaurant,Thai        ,   ,,,25290399,4
Sree Krishna,        ,   ,12.90753,77.5844,22284748,3.5
Udupi Uphara,        ,   ,12.95584,77.7155,+91 99018 16875,4
Delhi Base Sri Food Court,Indian        ,   ,12.85109,77.65743,+91 99168 02329,4
Ragavendra Darshani,        ,   ,13.04253,77.51387,+91 80 2839 8906,4
Ranga's Paradise,        ,   ,13.0144,77.65801,+91 98448 67564,4
Raagas RainTree,        ,   ,12.97261,77.62072,25559005,4
Ssr Dum Biriyani,        ,   ,12.92117,77.47204,+91 74115 98557,4
Three Aces Cafe,Italian Chinese       ,   ,12.99381,77.70248,+91 98868 54666,4
Butter Side Up,        ,   ,12.921466,77.67578,+91 99800 55889,4
Atithi Satkaar,        ,   ,12.96982,77.57975,+91 80 2220 6261,4
Zanzibar Pub,Pub        ,   ,12.93435,77.62362,+91 88970 55955,4
Teja Condiments,        ,   ,12.94342,77.60075,+91 95355 70316,4
Vinaya Sagar,        ,   ,12.98389,77.60807,+91 94487 96085,4
Calvin's,        ,   ,12.93579,77.60798,+91 80 2563 0179,4
Hotel Madhuvan Restaurant,        ,   ,12.970377,77.58003,+91 80 2221 1557,3.5
Biryaniwala,        ,   ,12.95584,77.7155,+91 77959 99404,3.5
MTR,Indian        ,   ,12.92382,77.52115,+91 98866 37825,2.5
N.D. Juice Bakes and Chats,Indian        ,   ,12.92988,77.5755,+91 99809 55564,4
Monks Bar & Kitchen,        ,   ,12.907534,77.60117,,
New DG Family Restaurant,Chinese        ,   ,12.97765,77.74307,+91 80 2841 3833,4
Krishna Bakery,        ,   ,13.0423,77.54779,+91 99004 56179,4
Purabhi Mirch Masala,Chinese Indian       ,   ,12.87489,77.63536,+91 80 4130 9666,4
Just Bake,Cafe        ,   ,13.01489,77.65944,+91 96206 42014,3.5
Daily Bread,        ,   ,13.09562,77.59375,+91 80 6452 6667,4
Skewer's,Fast Food        ,   ,12.95707,77.73703,+91 80 6565 8444,4
Biryani Mahal,        ,   ,13.06834,77.59719,+91 80 2675 0666,4
Taja coffee,Cafe        ,   ,12.9833,77.5833,+91 99640 26247,3
Adigas,        ,   ,13.01882,77.63944,41683468,4
Sugar Cane Town,        ,   ,12.90766,77.56382,+91 99010 50388,5
California Pizza Kitchen,Pizza        ,   ,12.93893,77.61877,+91 80 6569 6596,2.5
Chilly's,Chinese        ,   ,12.95409,77.69374,+91 80 4112 2323,4
BrewBakes Cafe,Italian Indian Fast Food Mediterranean European    ,   ,12.94119,77.6267,+91 90035 24204,4
Roll Corner,        ,   ,13.0373,77.56253,+91 99860 81488,5
Port of Pavilion,Chinese        ,   ,12.92719,77.52225,+91 80 2346 1437,4
Chocolate Graphics,        ,   ,12.97502,77.60475,+91 80 4965 3163,
Hotel Grand Taj,Indian        ,   ,12.9833,77.5833,+91 96868 15835,3
Bombay Vadapav Center,        ,   ,12.96142,77.5984,+91 90192 60262,4
New Biriyani Mane,        ,   ,13.03248,77.6443,+91 95912 17755,4
Nirmala Kitchen,        ,   ,,,+91 93794 48744,4
Paprica,Chinese        ,   ,12.96886,77.70103,+91 80 3020 8899,3
Sridhara Krupa,        ,   ,12.93892,77.56694,+91 80 2651 3368,4
Sneha Bakery,        ,   ,12.90823,77.6956,+91 82770 74143,3.5
Sunny Numkins,        ,   ,13.06233,77.58713,+91 80 2592 4702,5
B B Bakery,        ,   ,12.98454,77.55143,+91 94489 37953,4
Goli Vada Pav No. 1,Fast Food        ,   ,12.89001,77.59992,+91 96867 77677,3.5
Shanthi Sagar Veg,Cafe        ,Vegetarian Friendly   ,13.00449,77.70831,+91 99168 61111,3
Cafe Bengaluru,Indian Pizza Fast Food Healthy Street Food    ,   ,12.977201,77.54569,+91 95136 09030,4
Sri Devi Veg,        ,   ,12.90086,77.63581,+91 98458 48417,4
Subway,Fast Food        ,   ,13.11026,77.58197,+91 80 4223 4657,4
The 25th Hour,        ,   ,12.92564,77.61758,+91 80 4965 3002,4
Surya Sweets & Savouries,        ,   ,12.92549,77.60878,+91 95908 20825,4
Faaso's,Fast Food        ,   ,12.96161,77.63523,+91 78490 23939,3.5
Domino's Pizza,Pizza        ,   ,12.95147,77.64117,+91 80 2535 6100,3.5
Mickey Sweet Corn,        ,   ,12.92564,77.61758,+91 98807 40642,4
Malabar,        ,   ,12.92564,77.61758,+91 98869 00000,4
Km Bakery & Sweets,        ,   ,13.011,77.59522,+91 80 2292 4747,4
Manjushree Sweets & Chats,        ,   ,12.94292,77.59831,+91 77958 64703,4
Raj Food,        ,   ,12.85445,77.61047,+91 97314 55979,4
Lakehouse,American European Asian      ,   ,13.062235,77.61071,+91 99000 14308,
Avon,Chinese        ,   ,12.93201,77.61369,+91 80888 30300,3
Dilpasand Biryani Centre,        ,   ,12.99992,77.61097,+91 94496 66335,4
Beijing Bites,Chinese Thai       ,   ,13.01743,77.65709,+91 80 4096 5388,4
Krishna Chinai,Chinese        ,   ,12.95436,77.52306,26784287,4
Hotel Renowned Restaurant,        ,   ,13.00243,77.62334,+91 80 2670 1785,4
Ar Biryani Paradise,        ,   ,13.00966,77.67572,+91 99863 85599,4
Barista Lavazza,Cafe        ,   ,13.00931,77.58127,+91 80 4169 0965,3
Bake Junction Sweets,        ,   ,12.96383,77.52331,+91 99164 46058,4
Tasty Corner,        ,   ,13.03022,77.55962,+91 98463 23091,4
US Pizza,        ,   ,12.96609,77.70202,,3.5
Ice Berg,        ,   ,12.93423,77.61156,+91 90354 31213,
Just Bake,        ,   ,13.02847,77.57146,+91 80 4166 0022,4
Swathi Delux,Chinese        ,   ,12.97411,77.57444,+91 80 2235 6440,3.5
Wow! Momo,Asian Tibetan       ,   ,12.96861,77.5341,+91 88678 03487,2.5
New Zealand Natural Cafe,        ,   ,13.02152,77.64099,+91 87921 43492,3
Sanjeevini Andhra Style,Chinese        ,   ,12.90957,77.54992,+91 88842 04995,4
Vitalkrishna Bakery,        ,   ,12.98525,77.55422,+91 99088 79996,4
Kudla Beach Family Restaurant,Chinese        ,   ,12.99031,77.55831,+91 80 3240 9844,1
Chaatimes,Fast Food        ,   ,12.94662,77.57158,+91 99451 11997,3
Cafeteria Al - Falah,Chinese        ,   ,12.95739,77.71455,+91 90667 71044,4
Ramdev Sweet & Chats,        ,   ,13.01689,77.52028,+91 99805 37623,4
Riwaaaz Restaurant,        ,   ,13.00393,77.55372,+91 80 2337 7689,4
Sree Naveena Deluxe,        ,   ,13.04334,77.59912,+91 99017 22556,4
Goli Vada Pav No. 1,Cafe        ,   ,12.97478,77.57473,+91 95352 83163,3.5
Anamika Roll Centre,        ,   ,12.91768,77.60885,+91 93430 75672,5
Jyothi Restaurant,Asian        ,   ,13.01257,77.59586,+91 80 2597 2245,4
M K Bismillah Ambur Dum Biriyani,        ,   ,12.91666,77.60643,+91 99002 96555,4
Mr Iyer's,Indian        ,   ,12.98798,77.75071,+91 89715 41182,4
La Casa,Italian Chinese American International Asian    ,   ,13.0136,77.69186,+91 80 2691 0732,4
Pogo Chats,        ,   ,12.93663,77.56927,+91 97425 78321,3.5
Big Slice,Italian Pizza       ,   ,12.92442,77.65017,+91 80 6050 6070,4
Bake and Fresh,        ,   ,12.92732,77.61568,+91 97402 85400,4.5
Banashankari Biryani Corner,        ,   ,12.91833,77.57364,+91 99450 98254,4
Slv Tiffen Centre,Fast Food        ,   ,,,,4
Gudguda Prime Cafe,Fusion        ,   ,12.92208,77.6349,+91 98866 56686,3
Taste Buds,        ,   ,12.976,77.54,+91 97422 45073,4
Chung's Chinese Corner,Chinese        ,   ,,,+91 80 4113 2312,4
Kairali Family Restaurant,Indian        ,   ,13.02812,77.63301,+91 90360 60431,3
Cookieman India,Indian        ,   ,12.989096,77.72854,+91 70194 13437,
Roll Khazana,Chinese        ,   ,,,+91 96207 77758,3.5
Haandi Inn Restaurant,        ,   ,12.99805,77.62063,+91 80 4125 1274,3
Daily Bread,        ,   ,12.92384,77.67577,+91 80 6454 6665,3.5
Chennai Chutney,        ,   ,12.89276,77.67932,+91 97416 66674,5
Madurai Idly Dosa Shop,Indian        ,   ,12.95584,77.7155,+91 99861 78263,4
Sri Vishnu Sagar,        ,   ,12.99248,77.5798,23566879,4
KGN Chicken County,        ,   ,12.93079,77.56893,+91 80 2665 0700,4
Hotel Sahaja Restaurant,        ,   ,12.95608,77.7293,+91 80 6090 9009,3
Afs Bakes N Juice,        ,   ,12.9296,77.55812,+91 95389 52391,4
Keerthi Bakery and Juice Center,        ,   ,12.92311,77.61533,+91 97319 53141,4
New Pogo Chats,        ,   ,12.92918,77.55227,+91 95917 36252,4
Sports Bar Express,        ,   ,12.95934,77.70111,+91 80 2540 5701,3
Binge,        ,   ,12.95847,77.70107,+91 80 4902 9555,3
Nisarga,        ,   ,12.89989,77.58276,+91 80 2244 9899,4
Ashoka Darsani,        ,   ,12.97269,77.61999,+91 87228 98254,4
Comesum Multicuisine Restaurant,        ,   ,12.97434,77.56612,65904478,3
Shawns Bake House,        ,   ,12.95909,77.66046,+91 99451 12380,4
Candolim,        ,   ,12.8915,77.62204,+91 80 4965 2733,4
The Big Kahuna,        ,   ,12.95584,77.7155,+91 80672 66237,4
Mehek Dum Biriyani,        ,   ,12.96595,77.64154,+91 74112 71596,3
Sri Manikanta Bakery and Juice Centre,        ,   ,12.90443,77.62563,+91 99022 20336,4
Swagatham Biryani Express,        ,   ,12.92091,77.66485,+91 96327 26688,4
Hotel Nagashree Thejasvi Restaurant,        ,   ,12.97912,77.57678,+91 80 2226 2584,4
Domino's Pizza,Pizza        ,   ,13.094245,77.59495,+91 1800 208 1234,
Sri Venkateshwara Hot Chips,        ,   ,12.94404,77.60779,+91 95386 86921,4
Faaso's,Fast Food        ,   ,12.985258,77.67111,+91 77000 20020,2
Chowdeshwari Pani Puri Stall,        ,   ,12.99552,77.56729,+91 84530 58962,4
Crescent Bakery,        ,   ,12.98785,77.60292,+91 97408 51966,4
Wow Momo,        ,   ,12.95584,77.7155,+91 88844 29825,3
Sri Balaji Military Hotel,        ,   ,12.84498,77.66555,,4
Chicken Kabab Corner,        ,   ,12.95374,77.66103,+91 74117 87804,4
Jai Shree Sai Nath,        ,   ,12.89001,77.59992,+91 99453 59673,4
Hungryyy,        ,   ,13.06805,77.63573,+91 98863 42111,4
Om Ganesh Fruit Juice Center,        ,   ,12.9853,77.61242,,4
Kamal Bakery & Sweets,        ,   ,12.93358,77.62149,+91 99729 73974,3
Sri Ayyappa Sweets,        ,   ,12.90376,77.63114,+91 99647 44987,4
Shine Bakery,        ,   ,12.89575,77.63905,+91 89711 84453,4
Lobo's Food Lounge,        ,   ,13.01476,77.63915,+91 80 4170 0297,4
The Donut Baker,        ,   ,13.02672,77.63134,+91 80 4208 4228,4
Juice Junction Food Court,        ,   ,12.93629,77.61678,+91 80 4110 5299,4
New Shanthi Upahar,        ,   ,12.92391,77.58724,+91 80 2245 9626,3.5
Priya Juice & Chaats,        ,   ,13.04663,77.52268,+91 98459 93374,4
Tanoos Bakery,        ,   ,12.92589,77.60362,,4
Lilliput Condiments and Fast Foods,        ,   ,12.91693,77.59364,+91 99641 94558,4
The 4th Meal,        ,   ,12.92337,77.51093,+91 76248 93740,4
The Vintage Cafe,Italian Indian       ,   ,12.930183,77.546814,+91 98800 16665,4.5
Mahalakshmi Bakery & Sweets,        ,   ,13.06125,77.53398,+91 96116 16194,4
Choice Bake N Sweets,        ,   ,12.91838,77.48294,+91 96115 52345,4
Banaras Chaats and Snacks,        ,   ,12.93663,77.56927,+91 77955 87454,4
Atithi Satkaar,        ,   ,12.96895,77.62567,+91 96860 39004,3
Anisa's Kitchen,        ,   ,12.99975,77.61605,+91 98458 78300,2
Salt And Pepper,        ,   ,12.95584,77.7155,,4
J K Good Food,        ,   ,12.95917,77.65751,+91 96204 26019,4
Rolls On Wheels,        ,   ,13.11094,77.60683,,4
Srinathji's,        ,   ,12.92669,77.63353,+91 80 4116 2896,3
Ambur Biriyani,        ,   ,12.96475,77.63469,+91 95351 22043,3.5
Favorite Juice Center,        ,   ,13.01658,77.51171,+91 97421 19175,4
Dhanush Kolkatta Chats and Sweets,        ,   ,12.87767,77.61028,+91 81239 35831,4
Shahi Chicken Biryani Corner,Chinese        ,   ,12.98168,77.62936,+91 97425 72268,3
Iyengar Food Ex,        ,   ,12.95602,77.7121,+91 89048 05486,4
Iyengar's Bakery,        ,   ,12.99791,77.62064,+91 94482 27215,4
Snow Fields,        ,   ,12.91329,77.58574,+91 81475 22842,4
Savera Cafe Corner,        ,   ,12.99791,77.62064,+91 97432 27826,4
Soubhagya Bakery & Sweets,        ,   ,12.9753,77.63039,+91 80 2591 6084,4
Thela,        ,   ,12.97815,77.63664,+91 99011 89089,4
N Vi Snacks & Sweets,        ,   ,12.92011,77.60403,+91 88849 81000,4
Late Night,Chinese        ,   ,12.90393,77.56201,+91 88849 32323,3
Sri Vigneshwara Fast Food,        ,   ,13.04311,77.52032,+91 98802 29592,4
Khao Piyo Khisko,        ,   ,12.95624,77.70808,+91 80 4965 3328,3
Sri Annapoorneshwari Veg Restaurant,        ,   ,12.98726,77.47537,+91 80 2358 1122,3
Ammi's Biryani,        ,   ,12.92487,77.63783,+91 80 3945 7777,2.5
Himanchal Fresh Fruit & Juice,        ,   ,12.84788,77.66233,+91 85539 53407,4
Greens Garden,Chinese        ,   ,12.90587,77.61047,+91 96638 09382,3
Mallige Idly Food Factory,        ,   ,12.967388,77.53405,23504466,2.5
Sid's Take Away,        ,   ,12.95374,77.66103,+91 94816 30199,3
Shiva Kitchen,Chinese        ,   ,12.98279,77.58722,+91 98457 17240,3
81 Casual Dine,Chinese Indian Bar Asian Pub    ,   ,12.8885,77.6129,+91 87924 88366,
I Love Soda,        ,   ,12.99987,77.61111,+91 99024 71200,4
Sarkaar,        ,   ,12.94682,77.54352,+91 99004 84944,4
Ambur Biryani,Chinese        ,   ,12.89079,77.60708,+91 96205 34455,3
Mirchi,        ,   ,12.94095,77.54032,+91 99457 25049,4
Chinese Connection,Chinese        ,   ,12.92091,77.66485,+91 72594 54005,3
Bangalore Belly,Chinese        ,   ,12.93339,77.51595,+91 80 6569 0360,3
Desi Dhaba,Chinese        ,   ,12.92206,77.64492,+91 99002 96707,3
Yes Yes Hotel Restaurant,        ,   ,13.02299,77.70622,+91 99008 02541,4
Ole Desserts,        ,   ,12.99081,77.57581,+91 98441 24396,4
Bhaginy Residency Restaurant,        ,   ,13.03552,77.73732,+91 97428 87999,3.5
A-1 Chicken Biriyani Point,        ,   ,12.99686,77.57713,+91 99028 25328,4
Frontier Mall,        ,   ,13.0293,77.55926,+91 80 4210 7788,4
Andhra Mess,        ,   ,12.91426,77.60294,+91 97429 64787,4
A.F Bakery,        ,   ,12.94296,77.60805,+91 81233 46608,4
New Karavali Restaurant,        ,   ,13.019,77.55783,+91 80 2290 1639,4
Shree Sagar,        ,   ,12.97342,77.53843,+91 94814 74778,4
Sri Shanthi Sagar,        ,   ,13.01202,77.6255,25491970,4
Saravanan Bhawan,        ,   ,12.97291,77.64702,+91 98869 81661,4
New Royal Durbar,        ,   ,13.09958,77.57537,+91 96205 47791,4
Maha Maya's,        ,   ,13.08627,77.63503,+91 903647703,2.5
Dosa Bites,Indian        ,   ,12.95034,77.71305,+91 99007 26700,4
Courtyard,Chinese        ,   ,,,+91 80 2201 0333,4
Hotel Ashoka Restaurant,        ,   ,12.96888,77.58116,+91 80 2555 4521,4
Komala Snack Link,Chinese Cafe       ,   ,12.99755,77.61728,+91 85538 73612,3.5
Bean There Done That,        ,   ,13.01013,77.64551,+91 80 4043 0000,5
Sri Laxmi Venkateshwara Iyengar Bakery,        ,   ,12.97544,77.54146,+91 80 2553 6258,3.5
Coastal Park,Indian        ,   ,12.9577,77.65384,+91 80 2522 9033,4
Inchara Family Restaurant,        ,   ,13.10117,77.59866,+91 99801 57187,3
Beijing Bites,Chinese Thai       ,   ,12.92257,77.52062,+91 80 2860 6888,3.5
Hangyo Ice Cream,        ,   ,13.09958,77.57537,,4
Juice Junction,        ,   ,13.00242,77.52604,+91 91411 66774,3.5
Hotel Raju Restaurant,        ,   ,12.90376,77.63114,+91 88842 97161,4
Krupa Bar & Restaurant,        ,   ,12.96679,77.64841,25220808,4
Thali Family Restaurant,Chinese        ,   ,12.84652,77.68093,+91 96633 92138,4
3 Ediots,Diner        ,   ,13.03162,77.64415,,4
Mama's Eat More,        ,   ,12.97394,77.63585,+91 80 2520 0630,4
Faaso's,Chinese Cafe Fast Food      ,   ,,,+91 88844 91149,3.5
Wangs,Asian        ,   ,12.94085,77.63132,,2
Poorna Pragna Upahar Gruha,        ,   ,12.93801,77.56155,+91 98459 08254,4
Yum Kitchen,Chinese Indian       ,   ,13.02004,77.53491,+91 74060 90660,2
The Fast Food,        ,   ,13.00857,77.56786,+91 80 2334 6483,4
Bawarchi,        ,   ,12.99862,77.61546,25491767,3
Santrupti Uttar Karanataka Food Store,        ,   ,12.93343,77.63611,+91 99863 88278,3.5
Kitchen Of Chettinad,Italian        ,   ,13.01433,77.63633,+91 80 6012 4000,4
Pat's Fast Food,        ,   ,12.97521,77.53446,+91 94839 53303,4
Andra Spice,        ,   ,12.9408,77.56483,+91 99003 13542,4
Kanthi Sweets,        ,   ,13.01709,77.67119,+91 80 4229 3148,4
Sri Manjunatha Hot Chips,        ,   ,12.9408,77.56483,+91 81239 92292,4.5
Float Food and Beverages,Italian Chinese Indian European Asian    ,   ,13.022343,77.64338,+91 80 4375 8282,3.5
Subway,Fast Food        ,   ,13.03215,77.67403,+91 80 2268 2117,3
Cool Point,        ,   ,12.93399,77.61646,+91 98447 67260,4
Sree Raghavendra Sweets,        ,   ,13.02519,77.56132,+91 80 2360 1476,4
Pavan Sagar,Chinese        ,   ,12.95602,77.7121,+91 99800 40404,3.5
Vasudev Adiga's Mookambike,        ,   ,12.9111,77.51996,+91 80 2860 5959,3.5
Faaso's,Fast Food        ,   ,12.9097,77.5857,+91 88844 70701,4
Ambur Biryani,        ,   ,12.93357,77.62328,+91 98456 13541,3.5
Biryani Point,        ,   ,12.99543,77.62158,+91 80 2891 5213,4
Shilpa Bakery,        ,   ,12.89079,77.60708,+91 90363 66019,3
Beijing Bites,Chinese        ,   ,12.88919,77.60229,+91 93430 00000,3.5
Green Park Family Restaurant,        ,   ,,,+91 96862 78251,4
New Punjabi Restaurant,        ,   ,13.03353,77.60897,+91 81050 75728,4
Time Pass Bakery,        ,   ,13.00726,77.5215,+91 72599 97746,4
Sri Ramdev Sagar,        ,   ,12.93849,77.63144,,4
Goli Vada Pav No. 1,Fast Food        ,   ,13.01525,77.63933,+91 96200 08555,3
Kabab Hut,Chinese        ,   ,12.98852,77.5594,+91 99802 18278,4
Bhagyalakshmi,        ,   ,13.00046,77.57124,,4
Black Jack,        ,   ,13.03216,77.56995,+91 80 4112 9418,2
Cake Palace,        ,   ,12.9954,77.54742,+91 80 2290 2861,4
Shivas Only Veg,        ,   ,12.98512,77.57509,+91 97314 10990,4
Benito's,Italian        ,   ,,,+91 80 2524 1525,4
Biryani @ Koramangala,        ,   ,12.93435,77.62362,+91 90366 19179,4
1966 Vadapav,        ,   ,12.94653,77.59604,+91 99015 33200,4
Sri Ganesha Fruit Juice Centre,        ,   ,12.93441,77.62984,+91 80 2592 1717,3
Shakthi United Bar & Restaurant,        ,   ,12.99987,77.61111,+91 96118 34607,3
Cafe Creams N Browns,Cafe        ,   ,12.97815,77.63664,+91 88841 77741,
MumYum Kulcha's,Indian        ,   ,12.954094,77.63094,+91 78294 17505,
Deep Sagar,        ,   ,12.95275,77.6551,,3
Faaso's,Fast Food        ,   ,12.92206,77.64492,+91 88844 70704,2
Lahari Family & Garden Dhaba,        ,   ,13.08948,77.54394,+91 80503 53719,2.5
Taj,        ,   ,12.98111,77.60671,+91 80 4197 1111,2
The Tribal Restro Cafe,Chinese Indian African Cafe Diner    ,   ,12.892212,77.59032,+91 80958 84429,
Sunny Spice Fast Food,Chinese Thai       ,   ,13.0555,77.60674,+91 97425 15190,1
Mast Kalandar,        ,   ,12.93441,77.62984,+91 80 4164 1751,2.5
Anna Bakery,        ,   ,12.93859,77.62972,+91 99002 19100,2.5
Mughal Durbar,        ,   ,12.92024,77.56933,+91 80 2671 9999,3
Chinese Street,Chinese        ,   ,13.00242,77.52604,+91 98800 30303,2.5
Sree Ganesha Fruit Juice Centre,        ,   ,12.95275,77.6551,+91 98452 97734,3
Pattaka Vada Pav,        ,   ,12.92433,77.59354,+91 99026 23281,3
Goli Vada Pav No. 1,        ,   ,12.9442,77.57284,,3
Zaica Dine & Wine,        ,   ,13.0415,77.62469,+91 80 2544 4449,2.5
Sri Ganesh Darshan,        ,   ,13.03608,77.57491,+91 99809 04409,3
Arogyaz,        ,   ,12.96333,77.58958,+91 80 4286 2264,3
Sri Rama,        ,   ,12.98111,77.60671,,3
Kaati Zone,Fast Food        ,   ,12.96472,77.53814,+91 80566 60000,2
Northern Wave,        ,   ,12.96593,77.71658,+91 80 2854 1122,
Chugg,        ,   ,12.97613,77.60127,,2
Gandharva,        ,   ,12.9367,77.57976,26631181,2.5
Kusum Rolls,        ,   ,12.91815,77.6318,+91 97428 77401,3
Bangaliana,        ,   ,12.89001,77.59992,+91 98453 66458,3
Karnataka Bhel House,        ,   ,12.93954,77.58354,+91 98441 11020,3
New Kabab Zone,        ,   ,12.88083,77.58393,+91 99070 65111,3
Street Foods By Punjab Grill,        ,   ,12.991553,77.5708,+91 74283 83823,
